date,ts_code,name,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_reason,exit_reason,holding_days,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
2024-02-02,002705.sz,新宝股份,defensive_dividend,BUY,BUY_1,BUY_1,500.0,11.26563,5632.815,1.6898444999999997,0.0,0.005630000000000024,2.815000000000012,200000.0,194365.49515550002,0.0,500.0,0.0,0.028164074999999997,0.02805,满足第一笔买点。,,0,0.0,-222.81499999999977,risk_off,next_bar,open,,
2024-03-13,002271.sz,东方雨虹,cyclical_rotation,BUY,BUY_1,BUY_1,400.0,14.247119999999999,5698.848,1.7096543999999998,0.0,0.007119999999998683,2.847999999999473,194365.49515550002,188664.9375011,0.0,400.0,0.0,0.028221130691321077,0.028762,满足第一笔买点。,,0,0.0,29.151999999999845,neutral,next_bar,open,,
2024-03-29,002271.sz,东方雨虹,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,400.0,12.963515000000001,5185.406000000001,1.5556218000000002,2.5927030000000006,0.00648499999999963,2.593999999999852,188664.9375011,193846.1951763,400.0,0.0,0.025722288620653323,0.0,0.0,满足第一笔买点。,周期趋势转弱，触发清仓。,12,-517.5903247999992,0.0,neutral,next_bar,open,,
2025-02-28,000012.sz,南  玻Ａ,cyclical_rotation,BUY,BUY_1,BUY_1,1200.0,4.90245,5882.94,1.7648819999999996,0.0,0.002449999999999619,2.939999999999543,193846.1951763,187961.49029430002,0.0,1200.0,0.0,0.029230373966758393,0.029335,满足第一笔买点。,,0,0.0,-14.940000000000353,risk_on,next_bar,open,,
2025-03-04,000012.sz,南  玻Ａ,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1200.0,4.87756,5853.072,1.7559216,2.926536,0.0024399999999999977,2.9279999999999973,187961.49029430002,193809.8798367,1200.0,0.0,0.029054065717023174,0.0,0.0,满足第一笔买点。,周期趋势转弱，触发清仓。,2,-34.55045759999948,0.0,risk_on,next_bar,open,,
2025-03-26,000012.sz,南  玻Ａ,cyclical_rotation,BUY,BUY_1,BUY_1,1200.0,5.012504999999999,6015.0059999999985,1.8045017999999995,0.0,0.0025049999999993133,3.005999999999176,193809.8798367,187793.0693349,0.0,1200.0,0.0,0.02981639072464323,0.029742,满足第一笔买点。,,0,0.0,-15.00599999999892,risk_on,next_bar,open,,
2025-04-09,000012.sz,南  玻Ａ,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1200.0,4.6476750000000004,5577.210000000001,1.6731630000000002,2.7886050000000004,0.0023249999999999105,2.7899999999998926,187793.0693349,193365.81756690002,1200.0,0.0,0.02795158678089884,0.0,0.0,满足第一笔买点。,周期趋势转弱，触发清仓。,9,-442.25776799999755,0.0,neutral,next_bar,open,,
