date,benchmark_close,market_regime,max_total_exposure,current_total_exposure,current_cash,effective_universe_size,holdings_count,decision_scope_size,candidates_seen,passed_base_filter_count,passed_bucket_filter_count,passed_valuation_filter_count,passed_quality_filter_count,passed_price_trigger_count,raw_buy_signal_count,unique_raw_buy_intent_count,repeated_blocked_buy_signal_count,raw_sell_signal_count,account_feasible_buy_signal_count,user_visible_buy_recommendation_count,user_visible_blocked_buy_count,pending_buy_intent_count,blocked_by_universe_count,blocked_by_market_regime_count,blocked_by_cash_count,blocked_by_cash_one_lot_count,blocked_by_position_limit_count,blocked_by_single_name_limit_count,blocked_by_min_trade_amount_count,blocked_by_lot_size_count,blocked_by_price_too_high_for_account_lot_count,blocked_by_price_too_high_for_remaining_capacity_count,blocked_by_lot_size_accumulation_required_count,blocked_by_existing_position_count,blocked_by_hard_add_ban_count,blocked_by_max_positions_count,blocked_by_daily_new_position_count,blocked_by_daily_add_count,blocked_by_unknown_count,executable_buy_count,executable_sell_count,executed_buy_count,executed_sell_count
2023-04-27,3988.4185,neutral,0.7,0.22081109878137653,390030.0779177,28,7,4839,4839,4838,1279,309,23,3292,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,1,0,1,0
2023-04-28,4029.0858,neutral,0.7,0.26373657129740247,370177.20534215,28,7,4835,4835,4834,1278,287,17,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0
2023-05-04,4030.2471,neutral,0.7,0.2645995487725874,370177.20534215,23,8,4826,4826,4825,1278,316,5,2933,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,1,0,1,0
2023-05-05,4016.8774,neutral,0.7,0.30023423497474744,353343.74681915,23,9,4843,4843,4842,1281,324,5,3049,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,1,0,1,0
2023-05-08,4062.6624,neutral,0.7,0.34344238033430996,333742.07508125,23,9,4844,4844,4843,1281,253,5,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-09,4027.8754,neutral,0.7,0.3415394915217619,333742.07508125,23,9,4840,4840,4839,1281,287,6,3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-10,3996.8695,neutral,0.7,0.33801440162303154,333742.07508125,23,9,4843,4843,4842,1283,298,5,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-11,3990.6637,neutral,0.7,0.33670927341238066,333742.07508125,23,9,4846,4846,4845,1283,295,6,2992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-12,3937.7622,neutral,0.7,0.3343796866660454,333742.07508125,23,9,4848,4848,4847,1284,327,6,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-15,3998.8872,neutral,0.7,0.33767545748003963,333742.07508125,23,9,4848,4848,4847,1284,314,6,2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-16,3978.2054,neutral,0.7,0.3360177917092538,333742.07508125,23,9,4852,4852,4851,1284,324,6,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-17,3960.165,neutral,0.7,0.33439428910266983,333742.07508125,23,9,4855,4855,4854,1285,314,6,2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-18,3956.0701,neutral,0.7,0.3345270091449519,333742.07508125,23,9,4857,4857,4856,1286,311,6,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-19,3944.5403,neutral,0.7,0.33375782529573933,333742.07508125,23,10,4861,4861,4860,1287,323,5,2841,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,1,0,1,0
2023-05-22,3969.3277,neutral,0.7,0.37643036875862723,313759.0984862,23,10,4862,4862,4861,1286,317,5,2784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-23,3913.1882,neutral,0.7,0.37246686583908767,313759.0984862,23,10,4865,4865,4864,1286,331,5,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-05-24,3859.0935,neutral,0.7,0.3678711799259104,313759.0984862,23,12,4868,4868,4867,1286,334,5,2964,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,2,0,2,0
2023-05-25,3850.4996,neutral,0.7,0.4454916160663454,275178.2527037,23,11,4869,4869,4868,1287,331,5,2931,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,1,1,1,1
2023-05-26,3850.9511,neutral,0.7,0.4595308156800146,268367.59001085,23,11,4869,4869,4868,1287,319,5,2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,21,0,0,0,0
2023-05-29,3833.9416,neutral,0.7,0.4596124377263802,268367.59001085,23,12,4866,4866,4865,1287,327,5,2921,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,21,1,0,1,0
2023-05-30,3837.7531,neutral,0.7,0.493511171788407,250733.49136785,23,12,4867,4867,4866,1287,332,5,2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,21,0,0,0,0
2023-05-31,3798.5434,neutral,0.7,0.4910385511430178,250733.49136785,23,12,4867,4867,4866,1286,340,5,2892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,0,0,0,0
2023-06-01,3806.8679,neutral,0.7,0.49020240597910597,250733.49136785,13,12,4869,4869,4868,1287,338,5,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-02,3861.8337,neutral,0.7,0.4958757697432648,250733.49136785,13,12,4871,4871,4870,1287,309,5,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-05,3844.2492,neutral,0.7,0.49588185121660117,250733.49136785,13,12,4872,4872,4871,1287,310,5,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-06,3808.1629,neutral,0.7,0.4950015544158856,250733.49136785,13,12,4873,4873,4872,1288,328,5,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-07,3789.3418,neutral,0.7,0.4967308015761538,250733.49136785,13,12,4873,4873,4872,1288,322,5,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-08,3820.1867,neutral,0.7,0.5009916229231275,250733.49136785,13,12,4872,4872,4871,1288,295,5,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-09,3836.7026,neutral,0.7,0.49992072860889175,250733.49136785,13,12,4877,4877,4876,1288,290,5,2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-12,3844.4324,neutral,0.7,0.4999925304356793,250733.49136785,13,12,4878,4878,4877,1287,293,5,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-13,3864.9074,neutral,0.7,0.5004866055263374,250733.49136785,13,12,4877,4877,4876,1287,290,5,2777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-14,3864.0247,neutral,0.7,0.5007899373390777,250733.49136785,13,12,4877,4877,4876,1287,294,5,2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-15,3925.4994,neutral,0.7,0.5031010011818221,250733.49136785,13,12,4878,4878,4877,1285,288,5,2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-16,3963.3509,neutral,0.7,0.5032880323551795,250733.49136785,13,12,4878,4878,4877,1285,283,5,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-19,3930.9079,neutral,0.7,0.4995414326374687,250733.49136785,13,12,4881,4881,4880,1285,292,5,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-20,3924.2377,neutral,0.7,0.49883420925226285,250733.49136785,13,12,4883,4883,4882,1285,299,5,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-21,3864.0323,neutral,0.7,0.49769063578849776,250733.49136785,13,12,4888,4888,4887,1285,306,5,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-26,3809.6962,neutral,0.7,0.49407122264227604,250733.49136785,13,12,4888,4888,4887,1286,313,5,3257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-27,3845.4334,neutral,0.7,0.49777716322442705,250733.49136785,13,12,4890,4890,4889,1286,300,5,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-28,3840.7986,neutral,0.7,0.4991895710904589,250733.49136785,13,12,4896,4896,4895,1286,295,5,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-29,3821.8435,neutral,0.7,0.49695293775703947,250733.49136785,13,12,4897,4897,4896,1286,287,5,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-06-30,3842.4516,neutral,0.7,0.4980084274044045,250733.49136785,13,12,4901,4901,4900,1286,279,5,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-03,3892.8821,neutral,0.7,0.5027038316428413,250733.49136785,13,12,4902,4902,4901,1287,267,5,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-04,3899.0133,risk_off,0.4,0.5016333476048985,250733.49136785,13,12,4903,4903,4902,1286,266,5,2532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-05,3868.8054,risk_off,0.4,0.5006825701793122,250733.49136785,13,12,4906,4906,4905,1288,266,5,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-06,3842.7547,risk_off,0.4,0.49906950517604215,250733.49136785,13,12,4907,4907,4906,1288,272,5,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-07,3825.6988,risk_off,0.4,0.49943952364515243,250733.49136785,13,12,4910,4910,4909,1289,268,6,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-10,3844.3269,risk_off,0.4,0.49905449288872933,250733.49136785,13,12,4911,4911,4910,1289,265,6,2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-11,3869.4861,risk_off,0.4,0.5004039956753207,250733.49136785,13,12,4910,4910,4909,1289,262,6,2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-12,3843.4369,risk_off,0.4,0.5008316787657919,250733.49136785,13,12,4915,4915,4914,1289,276,6,2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-13,3898.4229,risk_off,0.4,0.5039955061914433,250733.49136785,13,12,4917,4917,4916,1290,263,6,2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-14,3899.1027,risk_off,0.4,0.5031128178438241,250733.49136785,13,12,4918,4918,4917,1290,262,6,2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-17,3867.1749,risk_off,0.4,0.5019689250522069,250733.49136785,13,12,4921,4921,4920,1290,268,5,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-18,3854.9393,risk_off,0.4,0.5018204952156515,250733.49136785,13,12,4921,4921,4920,1290,267,6,2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-19,3850.8663,risk_off,0.4,0.5037913319528998,250733.49136785,13,12,4925,4925,4924,1290,261,6,2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-20,3823.6946,risk_off,0.4,0.5024660148275125,250733.49136785,13,12,4927,4927,4926,1290,273,6,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-21,3821.91,risk_off,0.4,0.5019372674426252,250733.49136785,13,12,4927,4927,4926,1289,273,5,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-24,3805.221,risk_off,0.4,0.5003582001332474,250733.49136785,13,12,4928,4928,4927,1290,272,5,2984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0
2023-07-25,3915.1153,neutral,0.7,0.5087379944248186,250733.49136785,13,12,4931,4931,4930,1290,240,6,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-26,3907.0128,neutral,0.7,0.5088881031310781,250733.49136785,13,12,4934,4934,4933,1290,222,6,2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-27,3902.3458,neutral,0.7,0.5089073412030153,250733.49136785,13,12,4934,4934,4933,1290,227,6,2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-28,3992.7376,risk_on,0.95,0.5170674762555946,250733.49136785,13,12,4936,4936,4935,1290,190,6,2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-07-31,4014.6301,risk_on,0.95,0.5185382270788463,250733.49136785,13,12,4937,4937,4936,1290,180,6,2539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0
2023-08-01,3998.001,risk_on,0.95,0.5173658751189434,250733.49136785,14,13,4938,4938,4937,1289,137,2,2609,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,1,0,1,0
2023-08-02,3969.895,risk_on,0.95,0.5537001729258206,230809.56198164998,14,13,4938,4938,4937,1289,183,6,2624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-03,4004.9839,risk_on,0.95,0.5558241604915396,230809.56198164998,14,13,4941,4941,4940,1291,178,6,2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-04,4020.5792,risk_on,0.95,0.5562494350445457,230809.56198164998,14,13,4942,4942,4941,1292,179,6,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-07,3990.1531,risk_on,0.95,0.5544626035903908,230809.56198164998,14,13,4943,4943,4942,1292,183,6,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-08,3979.7322,risk_on,0.95,0.553750220027334,230809.56198164998,14,13,4944,4944,4943,1292,187,6,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-09,3967.5652,risk_on,0.95,0.5534350813664177,230809.56198164998,14,13,4947,4947,4946,1292,195,6,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-10,3975.7166,risk_on,0.95,0.5538459685360606,230809.56198164998,14,13,4949,4949,4948,1292,186,6,2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-11,3884.2538,risk_off,0.4,0.5467902393273585,230809.56198164998,14,13,4950,4950,4949,1292,218,6,3263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-14,3855.9061,risk_off,0.4,0.5448778018339697,230809.56198164998,14,13,4949,4949,4948,1292,223,6,3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-15,3846.5357,risk_off,0.4,0.5459655773506625,230809.56198164998,14,13,4951,4951,4950,1292,239,6,3216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-16,3818.3338,risk_off,0.4,0.5453278679056279,230809.56198164998,14,13,4953,4953,4952,1292,241,6,3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-17,3831.1008,risk_off,0.4,0.544717104531308,230809.56198164998,14,13,4954,4954,4953,1292,213,5,3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-18,3784.0038,risk_off,0.4,0.5428423343663913,230809.56198164998,14,13,4956,4956,4955,1292,273,5,3334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-21,3729.555,risk_off,0.4,0.53866188813582,230809.56198164998,14,13,4956,4956,4955,1291,286,6,3439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0
2023-08-22,3758.2271,risk_off,0.4,0.5395270502902739,230809.56198164998,14,13,4957,4957,4956,1291,281,6,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0
2023-08-23,3696.6339,risk_off,0.4,0.5370350944469147,230809.56198164998,14,13,4960,4960,4959,1291,297,8,3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,0
2023-08-24,3723.4293,risk_off,0.4,0.5376481055987407,230809.56198164998,14,13,4960,4960,4959,1291,308,7,3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0
2023-08-25,3709.1517,risk_off,0.4,0.5379359656506041,230809.56198164998,14,13,4961,4961,4960,1291,317,10,3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,0
2023-08-28,3752.6194,risk_off,0.4,0.5414973752148631,230809.56198164998,14,13,4963,4963,4962,1292,286,10,3763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0
2023-08-29,3790.1067,risk_off,0.4,0.5406588059593976,230809.56198164998,14,13,4962,4962,4961,1292,268,11,3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0
2023-08-30,3788.5097,risk_off,0.4,0.5394351660347831,230809.56198164998,14,13,4963,4963,4962,1292,257,12,3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0
2023-08-31,3765.2678,risk_off,0.4,0.5388932228264576,230809.56198164998,14,13,4963,4963,4962,1292,292,15,3222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0
2023-09-01,3791.4912,risk_off,0.4,0.5421040844880167,230809.56198164998,29,12,4964,4964,4963,1292,284,14,3180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,19,0,1,0,1
2023-09-04,3848.9517,risk_off,0.4,0.5145742320337673,247048.43048565,29,12,4963,4963,4962,1292,242,14,2876,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,18,0,0,0,0
2023-09-05,3820.3174,risk_off,0.4,0.5120825457522188,247048.43048565,29,12,4966,4966,4965,1292,251,15,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18,0,0,0,0
2023-09-06,3812.0283,risk_off,0.4,0.512115306994761,247048.43048565,29,12,4967,4967,4966,1292,251,16,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18,0,0,0,0
2023-09-07,3758.4748,risk_off,0.4,0.5100320309839881,247048.43048565,29,12,4967,4967,4966,1292,286,15,3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18,0,0,0,0
2023-09-08,3739.9927,risk_off,0.4,0.5091578451165852,247048.43048565,29,12,4968,4968,4967,1292,283,15,3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18,0,0,0,0
