date,ts_code,name,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_reason,exit_reason,holding_days,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
2023-04-04,600036.sh,招商银行,defensive_dividend,BUY,BUY_1,BUY_1,100.0,27.67383,2767.383,0.8302148999999999,0.0,0.013829999999998677,1.3829999999998677,50000.0,47231.7867851,0.0,100.0,0.0,0.05534765999999999,0.0553,高股息补充触发 BUY_1。,,0,0.0,-11.38300000000001,risk_on,next_bar,open,,
2023-04-06,601318.sh,中国平安,defensive_dividend,BUY,BUY_1,BUY_1,100.0,38.209095,3820.9094999999998,1.14627285,0.0,0.019095000000000084,1.9095000000000084,47231.7867851,43409.73101225,0.0,100.0,0.0,0.07643686079614369,0.076439,高股息补充触发 BUY_1。,,0,0.0,-48.909499999999895,risk_on,next_bar,open,,
2023-04-07,600000.sh,浦发银行,defensive_dividend,BUY,BUY_1,BUY_1,300.0,6.143069999999999,1842.9209999999996,0.5528762999999999,0.0,0.00306999999999924,0.920999999999772,43409.73101225,41566.25713595,0.0,300.0,0.0,0.03693988647779011,0.036861,高股息补充触发 BUY_1。,,0,0.0,11.079000000000239,neutral,next_bar,open,,
2023-04-13,000877.sz,天山股份,cyclical_rotation,BUY,BUY_1,BUY_1,200.0,8.82441,1764.882,0.5294646,0.0,0.004410000000000025,0.882000000000005,41566.25713595,39800.84567135,0.0,200.0,0.0,0.035339866096314745,0.035362,满足 cyclical BUY_1。,,0,0.0,-14.882000000000062,neutral,next_bar,open,,
2023-04-17,601166.sh,兴业银行,defensive_dividend,BUY,BUY_1,BUY_1,100.0,13.276634999999999,1327.6634999999999,0.39829904999999993,0.0,0.00663499999999928,0.663499999999928,39800.84567135,38472.783872299995,0.0,100.0,0.0,0.02654644986059163,0.026513,高股息补充触发 BUY_1。,,0,0.0,19.33650000000018,neutral,next_bar,open,,
2023-04-25,600346.sh,恒力石化,defensive_dividend,BUY,BUY_1,BUY_1,100.0,14.757375,1475.7375,0.44272124999999996,0.0,0.007374999999999687,0.7374999999999687,38472.783872299995,36996.60365105,0.0,100.0,0.0,0.029519010258952125,0.029484,高股息补充触发 BUY_1。,,0,0.0,-25.73749999999997,neutral,next_bar,open,,
2023-04-28,601866.sh,中远海发,defensive_dividend,BUY,BUY_1,BUY_1,800.0,2.391195,1912.9560000000001,0.5738868,0.0,0.0011950000000000571,0.9560000000000457,36996.60365105,35083.073764249995,0.0,800.0,0.0,0.038103198927654354,0.038084,高股息补充触发 BUY_1。,,0,0.0,23.043999999999798,neutral,next_bar,open,,
2023-05-05,002032.sz,苏 泊 尔,defensive_dividend,BUY,BUY_1,BUY_1,100.0,42.07102499999999,4207.102499999999,1.2621307499999996,0.0,0.02102499999999452,2.102499999999452,35083.073764249995,30874.709133499997,0.0,100.0,0.0,0.08293930767953027,0.083391,高股息补充触发 BUY_1。,,0,0.0,60.897500000000804,neutral,next_bar,open,,
2023-05-26,000877.sz,天山股份,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,200.0,7.806095,1561.219,0.4683657,0.7806095000000001,0.0039049999999996032,0.7809999999999206,30874.709133499997,32434.679158299998,200.0,0.0,0.03125081247877112,0.0,0.0,满足 cyclical BUY_1。,trend_stop,28,-204.9119752,0.0,neutral,next_bar,open,,
2023-05-26,601166.sh,兴业银行,defensive_dividend,BUY,BUY_2,BUY_2,200.0,12.856425,2571.285,0.7713854999999998,0.0,0.006425000000000125,1.285000000000025,32434.679158299998,29862.622772799998,100.0,300.0,0.02573461678485754,0.07720385035457263,0.076985,满足 defensive BUY_2。,,26,0.0,-19.94849999999939,neutral,next_bar,open,,
2023-05-29,600018.sh,上港集团,defensive_dividend,BUY,BUY_1,BUY_1,400.0,4.682339999999999,1872.9359999999997,0.5618807999999998,0.0,0.0023399999999993426,0.935999999999737,29862.622772799998,27989.124892,0.0,400.0,0.0,0.03759207957680029,0.037654,满足 defensive BUY_1。,,0,0.0,23.064000000000462,neutral,next_bar,open,,
2023-09-04,600346.sh,恒力石化,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,100.0,13.543225000000001,1354.3225000000002,0.40629675000000004,0.6771612500000002,0.006774999999999309,0.6774999999999309,27989.124892,29342.363934,100.0,0.0,0.026894891195552644,0.0,0.0,高股息补充触发 BUY_1。,valuation_reversion_exit,89,-122.49845799999973,0.0,risk_off,next_bar,open,,
2023-10-24,601866.sh,中远海发,defensive_dividend,SELL,SELL_ALL,SELL_ALL,800.0,2.0789600000000004,1663.1680000000003,0.49895040000000007,0.8315840000000002,0.0010399999999997078,0.8319999999997663,29342.363934,31004.201399600002,800.0,0.0,0.03387489402151495,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,116,-251.1185343999998,0.0,risk_off,next_bar,open,,
2023-11-22,601018.sh,宁波港,cyclical_rotation,BUY,BUY_1,BUY_1,400.0,3.271635,1308.654,0.39259619999999995,0.0,0.001634999999999831,0.6539999999999324,31004.201399600002,29695.1548034,0.0,400.0,0.0,0.02661531940217044,0.026683,满足 cyclical BUY_1。,,0,0.0,11.34599999999999,risk_off,next_bar,open,,
2023-11-29,600036.sh,招商银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,100.0,24.20789,2420.7889999999998,0.7262366999999998,1.2103944999999998,0.012109999999999843,1.2109999999999843,29695.1548034,32114.0071722,100.0,0.0,0.0493714585807299,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,159,-348.5306312000001,0.0,risk_off,next_bar,open,,
